,INDICATOR NAME,INDICATOR DESCRIPTION,INDICATOR FREQUENCY 1,INDICATOR FREQUENCY 2,PROVIDER,DATASET
84,BFDLDD_BP6_EUR,"Financial Account, Net Lending (+) / Net Borrowing (-) (Balance from Financial Account), Direct Investment, Net Incurrence of Liabilities, Debt Instruments, Direct Investor in Direct Investment Enterprises, Euros",A,Q,IMF,BOP
85,BFDLDD_BP6_USD,"Financial Account, Net Lending (+) / Net Borrowing (-) (Balance from Financial Account), Direct Investment, Net Incurrence of Liabilities, Debt Instruments, Direct Investor in Direct Investment Enterprises, US Dollars",A,Q,IMF,BOP
86,BFDLDD_BP6_XDC,"Financial Account, Net Lending (+) / Net Borrowing (-) (Balance from Financial Account), Direct Investment, Net Incurrence of Liabilities, Debt Instruments, Direct Investor in Direct Investment Enterprises, National Currency",A,Q,IMF,BOP
87,BFDLDF_BP6_EUR,"Financial Account, Net Lending (+) / Net Borrowing (-) (Balance from Financial Account), Direct Investment, Net Incurrence of Liabilities, Debt Instruments, Between Fellow Enterprises, Euros",A,Q,IMF,BOP
88,BFDLDF_BP6_USD,"Financial Account, Net Lending (+) / Net Borrowing (-) (Balance from Financial Account), Direct Investment, Net Incurrence of Liabilities, Debt Instruments, Between Fellow Enterprises, US Dollars",A,Q,IMF,BOP
89,BFDLDR_BP6_EUR,"Financial Account, Net Lending (+) / Net Borrowing (-) (Balance from Financial Account), Direct Investment, Net Incurrence of Liabilities, Debt Instruments, Direct Investment Enterprises in Direct Investor (Reverse Investment), Euros",A,Q,IMF,BOP
90,BFDLDR_BP6_USD,"Financial Account, Net Lending (+) / Net Borrowing (-) (Balance from Financial Account), Direct Investment, Net Incurrence of Liabilities, Debt Instruments, Direct Investment Enterprises in Direct Investor (Reverse Investment), US Dollars",A,Q,IMF,BOP
91,BFDLDR_BP6_XDC,"Financial Account, Net Lending (+) / Net Borrowing (-) (Balance from Financial Account), Direct Investment, Net Incurrence of Liabilities, Debt Instruments, Direct Investment Enterprises in Direct Investor (Reverse Investment), National Currency",A,Q,IMF,BOP
92,BFDLDXF_BP6_USD,"Supplementary Items, Direct Investment: Net Incurrence of Liabilities: Debt Instruments (Excluding Exceptional Financing), US Dollars",A,Q,IMF,BOP
93,BFDLD_BP6_EUR,"Financial Account, Net Lending (+) / Net Borrowing (-) (Balance from Financial Account), Direct Investment, Net Incurrence of Liabilities, Debt Instruments, Euros",A,Q,IMF,BOP
94,BFDLD_BP6_USD,"Financial Account, Net Lending (+) / Net Borrowing (-) (Balance from Financial Account), Direct Investment, Net Incurrence of Liabilities, Debt Instruments, US Dollars",A,Q,IMF,BOP
95,BFDLD_BP6_XDC,"Financial Account, Net Lending (+) / Net Borrowing (-) (Balance from Financial Account), Direct Investment, Net Incurrence of Liabilities, Debt Instruments, National Currency",A,Q,IMF,BOP
96,BFDLEOD_BP6_EUR,"Financial Account, Net Lending (+) / Net Borrowing (-) (Balance from Financial Account), Direct Investment, Net Incurrence of Liabilities, Equity and Investment Fund Shares, Equity Other Than Reinvestment of Earnings, Direct Investor in Direct Investment Enterprises, Euros",A,Q,IMF,BOP
97,BFDLEOD_BP6_USD,"Financial Account, Net Lending (+) / Net Borrowing (-) (Balance from Financial Account), Direct Investment, Net Incurrence of Liabilities, Equity and Investment Fund Shares, Equity Other Than Reinvestment of Earnings, Direct Investor in Direct Investment Enterprises, US Dollars",A,Q,IMF,BOP
98,BFDLEOD_BP6_XDC,"Financial Account, Net Lending (+) / Net Borrowing (-) (Balance from Financial Account), Direct Investment, Net Incurrence of Liabilities, Equity and Investment Fund Shares, Equity Other Than Reinvestment of Earnings, Direct Investor in Direct Investment Enterprises, National Currency",A,Q,IMF,BOP
99,BFDLEOF_BP6_EUR,"Financial Account, Net Lending (+) / Net Borrowing (-) (Balance from Financial Account), Direct Investment, Net Incurrence of Liabilities, Equity and Investment Fund Shares, Equity Other Than Reinvestment of Earnings, Between Fellow Enterprises, Euros",A,Q,IMF,BOP
100,BFDLEOF_BP6_USD,"Financial Account, Net Lending (+) / Net Borrowing (-) (Balance from Financial Account), Direct Investment, Net Incurrence of Liabilities, Equity and Investment Fund Shares, Equity Other Than Reinvestment of Earnings, Between Fellow Enterprises, US Dollars",A,Q,IMF,BOP
101,BFDLEOR_BP6_EUR,"Financial Account, Net Lending (+) / Net Borrowing (-) (Balance from Financial Account), Direct Investment, Net Incurrence of Liabilities, Equity and Investment Fund Shares, Equity Other Than Reinvestment of Earnings, Direct Investment Enterprises in Direct Investor (Reverse Investment), Euros",A,Q,IMF,BOP
102,BFDLEOR_BP6_USD,"Financial Account, Net Lending (+) / Net Borrowing (-) (Balance from Financial Account), Direct Investment, Net Incurrence of Liabilities, Equity and Investment Fund Shares, Equity Other Than Reinvestment of Earnings, Direct Investment Enterprises in Direct Investor (Reverse Investment), US Dollars",A,Q,IMF,BOP
103,BFDLEOR_BP6_XDC,"Financial Account, Net Lending (+) / Net Borrowing (-) (Balance from Financial Account), Direct Investment, Net Incurrence of Liabilities, Equity and Investment Fund Shares, Equity Other Than Reinvestment of Earnings, Direct Investment Enterprises in Direct Investor (Reverse Investment), National Currency",A,Q,IMF,BOP
104,BFDLEO_BP6_EUR,"Financial Account, Net Lending (+) / Net Borrowing (-) (Balance from Financial Account), Direct Investment, Net Incurrence of Liabilities, Equity and Investment Fund Shares, Equity Other Than Reinvestment of Earnings, Euros",A,Q,IMF,BOP
105,BFDLEO_BP6_USD,"Financial Account, Net Lending (+) / Net Borrowing (-) (Balance from Financial Account), Direct Investment, Net Incurrence of Liabilities, Equity and Investment Fund Shares, Equity Other Than Reinvestment of Earnings, US Dollars",A,Q,IMF,BOP
106,BFDLEO_BP6_XDC,"Financial Account, Net Lending (+) / Net Borrowing (-) (Balance from Financial Account), Direct Investment, Net Incurrence of Liabilities, Equity and Investment Fund Shares, Equity Other Than Reinvestment of Earnings, National Currency",A,Q,IMF,BOP
107,BFDLERV_BP6_EUR,"Financial Account, Net Lending (+) / Net Borrowing (-) (Balance from Financial Account), Direct Investment, Net Incurrence of Liabilities, Equity and Investment Fund Shares, Reinvestment of Earnings, Euros",A,Q,IMF,BOP
108,BFDLERV_BP6_USD,"Financial Account, Net Lending (+) / Net Borrowing (-) (Balance from Financial Account), Direct Investment, Net Incurrence of Liabilities, Equity and Investment Fund Shares, Reinvestment of Earnings, US Dollars",A,Q,IMF,BOP
109,BFDLERV_BP6_XDC,"Financial Account, Net Lending (+) / Net Borrowing (-) (Balance from Financial Account), Direct Investment, Net Incurrence of Liabilities, Equity and Investment Fund Shares, Reinvestment of Earnings, National Currency",A,Q,IMF,BOP
110,BFDLEXF_BP6_USD,"Supplementary Items, Direct Investment, Net Incurrence of Liabilities, Equity and Investment Fund Shares (Excluding Exceptional Financing), US Dollars",A,Q,IMF,BOP
111,BFDLE_BP6_EUR,"Financial Account, Net Lending (+) / Net Borrowing (-) (Balance from Financial Account), Direct Investment, Net Incurrence of Liabilities, Equity and Investment Fund Shares, Euros",A,Q,IMF,BOP
112,BFDLE_BP6_USD,"Financial Account, Net Lending (+) / Net Borrowing (-) (Balance from Financial Account), Direct Investment, Net Incurrence of Liabilities, Equity and Investment Fund Shares, US Dollars",A,Q,IMF,BOP
113,BFDLE_BP6_XDC,"Financial Account, Net Lending (+) / Net Borrowing (-) (Balance from Financial Account), Direct Investment, Net Incurrence of Liabilities, Equity and Investment Fund Shares, National Currency",A,Q,IMF,BOP
114,BFDLXF_BP6_USD,"Supplementary Items, Direct Investment, Net Incurrence of Liabilities (Excluding Exceptional Financing), US Dollars",A,Q,IMF,BOP
115,BFDL_BP6_EUR,"Financial Account, Net Lending (+) / Net Borrowing (-) (Balance from Financial Account), Direct Investment, Net Incurrence of Liabilities, Euros",A,Q,IMF,BOP
116,BFDL_BP6_USD,"Financial Account, Net Lending (+) / Net Borrowing (-) (Balance from Financial Account), Direct Investment, Net Incurrence of Liabilities, US Dollars",A,Q,IMF,BOP
117,BFDL_BP6_XDC,"Financial Account, Net Lending (+) / Net Borrowing (-) (Balance from Financial Account), Direct Investment, Net Incurrence of Liabilities, National Currency",A,Q,IMF,BOP
118,BFD_BP6_EUR,"Financial Account, Net Lending (+) / Net Borrowing (-) (Balance from Financial Account), Direct Investment, Euros",A,Q,IMF,BOP
119,BFD_BP6_USD,"Financial Account, Net Lending (+) / Net Borrowing (-) (Balance from Financial Account), Direct Investment, US Dollars",A,Q,IMF,BOP
120,BFD_BP6_XDC,"Financial Account, Net Lending (+) / Net Borrowing (-) (Balance from Financial Account), Direct Investment, National Currency",A,Q,IMF,BOP
121,BFFACB_BP6_EUR,"Financial Account, Financial Derivatives (Other Than Reserves) and Employee Stock Options, Net Acquisition of Financial Assets, Central Bank, Euros",A,Q,IMF,BOP
122,BFFACB_BP6_USD,"Financial Account, Financial Derivatives (Other Than Reserves) and Employee Stock Options, Net Acquisition of Financial Assets, Central Bank, US Dollars",A,Q,IMF,BOP
123,BFFACB_BP6_XDC,"Financial Account, Financial Derivatives (Other Than Reserves) and Employee Stock Options, Net Acquisition of Financial Assets, Central Bank, National Currency",A,Q,IMF,BOP
124,BFFADC_BP6_EUR,"Financial Account, Financial Derivatives (Other Than Reserves) and Employee Stock Options, Net Acquisition of Financial Assets, Deposit-taking Corporations, Except the Central Bank, Euros",A,Q,IMF,BOP
125,BFFADC_BP6_USD,"Financial Account, Financial Derivatives (Other Than Reserves) and Employee Stock Options, Net Acquisition of Financial Assets, Deposit-taking Corporations, Except the Central Bank, US Dollars",A,Q,IMF,BOP
126,BFFADC_BP6_XDC,"Financial Account, Financial Derivatives (Other Than Reserves) and Employee Stock Options, Net Acquisition of Financial Assets, Deposit-taking Corporations, Except the Central Bank, National Currency",A,Q,IMF,BOP
127,BFFAFD_BP6_EUR,"Financial Account, Financial Derivatives (Other Than Reserves) and Employee Stock Options, Net Acquisition of Financial Assets, Financial Derivatives (Other Than Reserves), Euros",A,Q,IMF,BOP
128,BFFAFD_BP6_USD,"Financial Account, Financial Derivatives (Other Than Reserves) and Employee Stock Options, Net Acquisition of Financial Assets, Financial Derivatives (Other Than Reserves), US Dollars",A,Q,IMF,BOP
129,BFFAG_BP6_EUR,"Financial Account, Financial Derivatives (Other Than Reserves) and Employee Stock Options, Net Acquisition of Financial Assets, General Government, Euros",A,Q,IMF,BOP
130,BFFAG_BP6_USD,"Financial Account, Financial Derivatives (Other Than Reserves) and Employee Stock Options, Net Acquisition of Financial Assets, General Government, US Dollars",A,Q,IMF,BOP
131,BFFAG_BP6_XDC,"Financial Account, Financial Derivatives (Other Than Reserves) and Employee Stock Options, Net Acquisition of Financial Assets, General Government, National Currency",A,Q,IMF,BOP
132,BFFAMA_BP6_EUR,"Financial Account, Financial Derivatives (Other Than Reserves) and Employee Stock Options, Net Acquisition of Financial Assets, Monetary Authorities (Where Relevant), Euros",A,Q,IMF,BOP
133,BFFAMA_BP6_USD,"Financial Account, Financial Derivatives (Other Than Reserves) and Employee Stock Options, Net Acquisition of Financial Assets, Monetary Authorities (Where Relevant), US Dollars",A,Q,IMF,BOP
134,BFFAOF_BP6_EUR,"Financial Account, Financial Derivatives (Other Than Reserves) and Employee Stock Options, Net Acquisition of Financial Assets, Other Sectors, Other Financial Corporations, Euros",A,Q,IMF,BOP
